sender,receiver,amount,timestamp
ACC001,ACC002,1500.00,2024-01-15 09:30:00
ACC002,ACC003,750.50,2024-01-15 10:15:00
ACC003,ACC001,2200.00,2024-01-15 11:00:00
ACC004,ACC005,500.00,2024-01-16 08:45:00
ACC005,ACC004,3000.00,2024-01-16 14:20:00
ACC001,ACC006,1250.75,2024-01-16 16:05:00
ACC006,ACC007,980.00,2024-01-17 09:10:00
ACC007,ACC008,4500.00,2024-01-17 12:30:00
ACC008,ACC002,320.25,2024-01-17 15:45:00
ACC003,ACC009,6700.00,2024-01-18 10:00:00
ACC009,ACC010,150.00,2024-01-18 11:20:00
ACC010,ACC001,2800.50,2024-01-18 13:55:00
ACC002,ACC011,875.00,2024-01-19 08:15:00
ACC011,ACC012,1900.00,2024-01-19 10:40:00
ACC012,ACC003,540.00,2024-01-19 14:05:00
ACC004,ACC013,3200.00,2024-01-20 09:25:00
ACC013,ACC014,725.75,2024-01-20 11:50:00
ACC014,ACC005,4100.00,2024-01-20 15:30:00
ACC006,ACC015,260.00,2024-01-21 08:00:00
ACC015,ACC007,5300.00,2024-01-21 12:10:00
ACC008,ACC016,1450.25,2024-01-21 16:35:00
ACC016,ACC009,690.00,2024-01-22 09:45:00
ACC010,ACC017,3800.00,2024-01-22 13:20:00
ACC017,ACC011,1100.50,2024-01-22 15:00:00
ACC012,ACC018,2400.00,2024-01-23 10:30:00
ACC018,ACC013,830.00,2024-01-23 14:15:00
